Date,Home,HG,HxG,Away,AG,AxG,xGD
6/26/2016,Montreal,2,1.7746091345,Kansas City,2,1.121074715,0.6535344195
07/10/2016,Toronto,1,1.5275479012,Chicago,0,0.6553771917,0.8721707095
6/26/2016,Columbus,1,1.5102613328,New York,1,0.8512269565,0.6590343764
6/19/2016,Toronto,1,0.6681925554,L.A. Galaxy,0,0.4993512595,0.1688412959
07/10/2016,Vancouver,2,1.8004477346,Colorado,2,1.3378497658,0.4625979688
6/26/2016,Orlando City,3,2.095270539,Toronto,2,1.5561901619,0.539080377
6/19/2016,Vancouver,1,1.1982893712,New England,2,0.8880969926,0.3101923786
07/10/2016,Philadelphia,3,3.380889111,DC United,0,0.4593995996,2.9214895113
6/26/2016,FC Dallas,2,1.2946782986,Salt Lake,0,0.17426966,1.1204086386
6/19/2016,Houston,0,1.515502072,DC United,0,0.5122154784,1.0032865936
07/10/2016,New England,2,2.3025472071,Columbus,1,1.9209335683,0.3816136389
6/26/2016,San Jose,1,1.8646599776,L.A. Galaxy,1,0.8894815009,0.9751784767
6/19/2016,Columbus,0,0.9749465893,Montreal,0,0.8324900514,0.1424565379
07/10/2016,Salt Lake,1,1.4134113643,Montreal,1,1.3154430771,0.0979682872
6/26/2016,Portland,3,3.093576468,Houston,2,1.4079679403,1.6856085278
6/19/2016,Orlando City,2,1.1893708933,San Jose,2,1.4857730143,-0.296402121
07/10/2016,New York,0,1.3715168831,Portland,0,0.809267259,0.5622496241
07/02/2016,Chicago,1,1.4068169881,San Jose,0,1.1555379901,0.251278998
6/19/2016,Colorado,2,0.8837292044,Chicago,1,0.538347129,0.3453820755
07/11/2016,Kansas City,3,2.246266427,New York City FC,1,0.5388231273,1.7074432997
07/02/2016,Salt Lake,1,2.6231740151,DC United,1,0.8786897669,1.7444842482
6/19/2016,Salt Lake,2,1.9218548977,Portland,2,1.6869515923,0.2349033055
07/14/2016,Vancouver,1,0.3480531231,Salt Lake,0,1.4219806813,-1.0739275581
07/03/2016,Toronto,1,1.5309829424,Seattle,1,1.5026567959,0.0283261465
6/19/2016,Kansas City,2,1.4848007561,FC Dallas,0,1.5033917066,-0.0185909504
07/14/2016,Columbus,1,0.602268164,Toronto,1,0.8077160087,-0.2054478446
07/02/2016,Montreal,3,1.6620273369,New England,2,1.1896068722,0.4724204647
6/20/2016,New York,2,1.0586093622,Seattle,0,1.0862616434,-0.0276522812
07/14/2016,New York,2,1.2548627225,Orlando City,0,0.6039720822,0.6508906403
07/03/2016,Houston,1,1.5595984261,Philadelphia,0,1.0069843913,0.5526140348
6/23/2016,Philadelphia,3,2.1209116059,Chicago,3,1.1437171475,0.9771944583
07/14/2016,Chicago,1,1.0022769639,Kansas City,0,1.1708349564,-0.1685579925
07/03/2016,New York City FC,2,1.3052872265,New York,0,1.0503291388,0.2549580877
6/26/2016,DC United,2,1.8414188502,New England,0,0.799183066,1.0422357842
07/14/2016,Seattle,5,2.4470021685,FC Dallas,0,0.199992385,2.2470097836
07/04/2016,Kansas City,3,2.6942984894,Columbus,2,1.7649147024,0.9293837869
6/23/2016,Salt Lake,2,0.5941652406,New York,1,0.5382078301,0.0559574105
07/14/2016,Portland,1,1.956681023,Montreal,1,0.6450967034,1.3115843196
07/05/2016,FC Dallas,4,2.0335309276,Orlando City,0,0.0924394274,1.9410915002
6/23/2016,L.A. Galaxy,0,1.1030252509,Colorado,0,0.9493968567,0.1536283942
07/16/2016,L.A. Galaxy,1,1.6818001046,Houston,0,0.6519430901,1.0298570145
07/05/2016,Colorado,0,0.9790040292,Portland,0,0.7931216629,0.1858823663
07/17/2016,Vancouver,2,1.677688839,Orlando City,2,1.8605295835,-0.1828407445
07/05/2016,L.A. Galaxy,2,0.5616967237,Vancouver,0,1.327518259,-0.7658215353
07/17/2016,Columbus,1,0.9600987152,DC United,1,2.0113977149,-1.0512989997
07/07/2016,New England,0,1.0155930081,New York City FC,1,1.5221185346,-0.5065255265
07/17/2016,FC Dallas,3,1.6829772067,Chicago,1,0.348854545,1.3341226617
07/09/2016,Orlando City,0,0.6033309183,Houston,0,1.2708782452,-0.667547327
07/17/2016,Colorado,1,0.6752732463,Kansas City,0,0.7831810639,-0.1079078176
07/17/2016,Salt Lake,0,1.2134557128,New England,0,0.7878697026,0.4255860103
07/17/2016,San Jose,2,0.7413084943,Toronto,1,1.8423308152,-1.1010223209
08/01/2016,Orlando City,3,1.6748216669,New England,1,0.8723754407,0.8024462262
08/04/2016,Toronto,1,1.2085863095,Salt Lake,0,1.1010245369,0.1075617726
08/06/2016,San Jose,0,1.5382382603,New York City FC,0,0.6633510764,0.874887184
07/17/2016,Portland,3,1.4741617773,Seattle,1,1.1881458995,0.2860158779
08/07/2016,Toronto,4,1.5339122404,New England,1,0.9353410807,0.5985711597
07/17/2016,Montreal,1,0.9088696511,New York City FC,3,0.7355564271,0.173313224
08/07/2016,Montreal,1,1.7833729526,Houston,0,0.7963325302,0.9870404224
07/18/2016,Philadelphia,2,2.7110577236,New York,2,0.7065341192,2.0045236045
08/07/2016,DC United,2,1.8550235919,Philadelphia,2,1.596130684,0.2588929079
07/23/2016,Salt Lake,1,1.1808560461,San Jose,1,0.8659055573,0.3149504888
08/07/2016,Colorado,2,2.4940493656,Vancouver,0,0.2629560175,2.2310933481
07/23/2016,Portland,1,1.2946345776,L.A. Galaxy,2,2.0932115037,-0.7985769261
08/07/2016,Salt Lake,3,1.8495570361,Chicago,1,1.2326559966,0.6169010396
07/24/2016,Toronto,4,3.0616666694,DC United,1,1.1577840532,1.9038826162
08/07/2016,Portland,3,0.7000419063,Kansas City,0,0.8653624162,-0.1653205099
07/24/2016,Houston,0,1.201366937,Vancouver,0,0.3964981803,0.8048687567
08/08/2016,Orlando City,1,1.5964783511,Seattle,3,2.3742683497,-0.7777899986
07/24/2016,Montreal,5,1.9041948673,Philadelphia,1,0.9284936006,0.9757012668
08/08/2016,L.A. Galaxy,2,1.5732468982,New York,2,1.0701414573,0.5031054409
07/24/2016,Columbus,2,2.8476057374,Orlando City,2,2.1714713262,0.6761344113
08/13/2016,Vancouver,1,1.3923273811,San Jose,2,0.9969718075,0.3953555735
07/24/2016,New England,1,1.3033194111,Chicago,0,0.8752841966,0.4280352144
08/15/2016,Houston,1,1.2613419486,Toronto,1,1.6501315548,-0.3887896062
07/24/2016,Colorado,1,0.9287650555,FC Dallas,1,0.638667034,0.2900980215
08/14/2016,New York,3,1.7979953759,Montreal,1,0.9998657147,0.7981296612
07/24/2016,New York,4,2.1920898216,New York City FC,1,0.3673778202,1.8247120014
08/14/2016,DC United,2,2.2646538898,Portland,0,0.8212027555,1.4434511343
07/24/2016,Kansas City,3,1.8299581382,Seattle,0,0.037421153,1.7925369852
08/14/2016,Columbus,3,2.5250606963,New York City FC,3,2.4909789753,0.034081721
07/30/2016,New York City FC,5,2.6489973629,Colorado,1,0.4548029134,2.1941944495
08/14/2016,New England,0,1.1345440629,Philadelphia,4,1.3255184687,-0.1909744059
07/31/2016,Kansas City,1,1.0938780998,Portland,0,1.1112130902,-0.0173349904
08/14/2016,FC Dallas,2,2.4043105356,Kansas City,2,0.8792818943,1.5250286413
07/31/2016,Seattle,1,3.1740630451,L.A. Galaxy,1,1.4058231983,1.7682398468
08/14/2016,L.A. Galaxy,1,2.5104359369,Colorado,1,0.769330691,1.7411052458
08/01/2016,Toronto,3,1.7023767945,Columbus,0,1.2142499914,0.4881268031
08/14/2016,Chicago,2,1.7048994089,Orlando City,2,2.7927372888,-1.0878378799
08/01/2016,Philadelphia,1,1.7207274351,Salt Lake,2,0.8156032797,0.9051241554
08/15/2016,Seattle,2,3.1672700036,Salt Lake,1,0.8508323829,2.3164376206
08/01/2016,Houston,1,0.9596560235,San Jose,1,1.6523135093,-0.6926574858
08/20/2016,San Jose,1,2.3107990796,Houston,2,0.9788160553,1.3319830242
07/31/2016,DC United,1,1.5299872838,Montreal,1,0.3780038216,1.1519834621
08/20/2016,New York City FC,1,1.5633456279,L.A. Galaxy,0,1.0561186333,0.5072269946
08/01/2016,Chicago,2,0.5305431988,New York,1,0.8138233161,-0.2832801172
08/21/2016,Philadelphia,1,1.1965497122,Toronto,3,0.7861163938,0.4104333185
07/31/2016,FC Dallas,2,1.8151393425,Vancouver,0,0.2055583588,1.6095809837
08/21/2016,Montreal,0,0.8919179763,Chicago,3,1.9955047581,-1.1035867818
08/21/2016,New England,0,2.8361726027,Columbus,2,2.8801805609,-0.0440079582
08/21/2016,Kansas City,2,2.522685991,Vancouver,0,0.5924060754,1.9302799155
08/21/2016,Colorado,0,0.995913784,Orlando City,0,0.3034095092,0.6925042748
08/21/2016,Salt Lake,1,0.6571500252,FC Dallas,0,0.3859004777,0.2712495475
08/21/2016,DC United,2,3.0327234169,New York,2,1.1042013797,1.9285220372
08/22/2016,Seattle,3,2.3544337566,Portland,1,1.6565396311,0.6978941255
