Date,Home,HG,HxG,Away,AG,AxG,xGD
5/2/2016,Kansas City,1,1.42,L.A. Galaxy,1,0.95,0.47
5/1/2016,Portland,2,1.29,Toronto,1,1.14,0.15
5/1/2016,New England,2,1.97,Orlando City,2,1.33,0.63
5/1/2016,Salt Lake,2,1.85,Houston,1,1.11,0.74
4/30/2016,New York,4,1.84,FC Dallas,0,1.39,0.45
4/30/2016,New York City FC,3,1.42,Vancouver,2,3.25,-1.83
4/30/2016,Seattle,1,2.43,Columbus,0,1.22,1.2
4/30/2016,Chicago,1,0.83,DC United,1,0.58,0.26
4/30/2016,Philadelphia,1,1.09,San Jose,1,0.69,0.4
4/30/2016,Montreal,2,0.94,Colorado,2,1.29,-0.36
4/28/2016,Vancouver,1,0.62,Kansas City,1,0.81,-0.19
4/28/2016,New York City FC,1,1.14,Montreal,1,0.31,0.83
4/28/2016,New England,0,1.13,Portland,1,0.64,0.5
4/25/2016,New York,3,3.68,Orlando City,1,1.22,2.46
4/24/2016,Vancouver,2,0.65,FC Dallas,0,1.21,-0.56
4/24/2016,Columbus,1,1.43,Houston,0,0.33,1.11
4/24/2016,Colorado,3,2.82,Seattle,1,0.6,2.22
4/24/2016,L.A. Galaxy,5,3.11,Salt Lake,2,1.96,1.16
4/24/2016,San Jose,1,1.89,Kansas City,0,0.98,0.92
4/23/2016,DC United,3,1.97,New England,0,0.92,1.05
4/23/2016,Philadelphia,2,1.21,New York City FC,0,1.02,0.19
4/23/2016,Montreal,0,0.87,Toronto,2,1.55,-0.68
4/18/2016,FC Dallas,2,0.71,Kansas City,1,2.08,-1.37
4/17/2016,Columbus,3,1.76,New York City FC,2,2.43,-0.66
4/17/2016,Colorado,2,1.02,New York,1,0.85,0.17
4/17/2016,Salt Lake,1,1.36,Vancouver,0,1.29,0.06
4/17/2016,Seattle,2,2.27,Philadelphia,1,1.29,0.98
4/17/2016,Portland,3,1.73,San Jose,1,1.89,-0.16
4/17/2016,Orlando City,2,1.86,New England,2,2.8,-0.94
4/16/2016,Houston,1,0.54,L.A. Galaxy,4,1.92,-1.38
4/16/2016,Chicago,1,0.56,Montreal,2,1.13,-0.57
4/16/2016,DC United,0,2.05,Toronto,1,1.22,0.83
4/14/2016,Kansas City,1,2.16,Colorado,2,0.77,1.39
4/14/2016,San Jose,2,1.39,New York,0,0.98,0.41
4/14/2016,Portland,1,1.59,FC Dallas,3,1.41,0.18
4/11/2016,New York City FC,0,1.55,Chicago,0,0.41,1.14
4/11/2016,L.A. Galaxy,0,0.89,Portland,1,0.2,0.69
4/10/2016,New York,0,2.95,Kansas City,2,0.97,1.98
4/10/2016,FC Dallas,1,1.78,San Jose,2,0.68,1.11
4/10/2016,Salt Lake,1,0.99,Colorado,0,0.83,0.16
4/10/2016,Houston,1,1.06,Seattle,1,1.56,-0.5
4/9/2016,Philadelphia,2,2.65,Orlando City,1,1.21,1.44
4/9/2016,New England,1,1.24,Toronto,1,0.93,0.31
4/9/2016,DC United,4,4.32,Vancouver,0,0.72,3.6
4/9/2016,Montreal,2,1.53,Columbus,0,1.23,0.3
4/4/2016,Orlando City,4,1.81,Portland,1,2.38,-0.57
4/3/2016,Vancouver,0,0.14,L.A. Galaxy,0,1.66,-1.52
4/3/2016,Kansas City,1,1.93,Salt Lake,2,1.36,0.57
